class_id,name,size
11A,L-1 T-1 Section -A,60
11B,L-1 T-1 Section-B,60
11C,L-1 T-1 Section-C,60
12A,L-1 T-2 Section-A,60
12B,L-1 T-2 Section-B,60
12C,L-1 T-2 Section-C,60
21A,L-2 T-1 Section-A,60
21B,L-2 T-1 section-B,60
21C,L-2 T-1 Section-C,60
22A,L-2 T-2 Section-A,60
22B,L-2 T-2 Section-B,60
22C,L-2 T-2 Section-C,60
31A,L-3 T-1 Section-A,60
31B,L-3 T-1 Section-B,60
31C,L-3 T-1 section-C,60
32A,L-3 T-2 Section-A,60
32B,L-3 T-2 Section-B,60
32C,L-3 T-2 Section-C,60
41A,L-4 T-1 section-A,60
41B,L-4 T-1 Section-B,60
41C,L-4 T-1 Section-C,60
42A,L-4 T-2 Section-A,60
42B,L-4 T-2 Section-B,60
42C,L-4 T-2 Section-C,60
