class_id,subject_id,dept,teacher_id,periods_per_week
11A,CHEM109,CHEM,rashed,1
11B,CHEM109,CHEM,rashed,1
11C,CHEM109,CHEM,rashed,1
11A,CHEM109,CHEM,nobi,1
11B,CHEM109,CHEM,nobi,1
11C,CHEM109,CHEM,nobi,1
11A,CHEM109,CHEM,miran,1
11B,CHEM109,CHEM,miran,1
11C,CHEM109,CHEM,miran,1
11A,CHEM114,CHEM,shakila,1
11B,CHEM114,CHEM,shakila,1
11C,CHEM114,CHEM,shakila,1
11A,EEE159,EEE,SSA,3
11B,EEE159,EEE,SSA,3
11C,EEE159,EEE,DOH,3
11A,EEE160,EEE,ehsan,1
11B,EEE160,EEE,ehsan,1
11C,EEE160,EEE,ehsan,1
11A,MATH161,MATH,rana,1
11B,MATH161,MATH,rana,1
11C,MATH161,MATH,rana,1
11A,MATH161,MATH,alim,1
11B,MATH161,MATH,alim,1
11C,MATH161,MATH,alim,1
11A,MATH161,MATH,israt,2
11B,MATH161,MATH,israt,2
11C,MATH161,MATH,israt,2
11A,ME101,ME,MAR2,1
11B,ME101,ME,MAR2,1
11C,ME101,ME,MAR2,1
11A,ME101,ME,AKM,1
11B,ME101,ME,AKM,1
11C,ME101,ME,AKM,1
11A,ME101,ME,NH,1
11B,ME101,ME,NH,1
11C,ME101,ME,NH,1
11A,ME160,ME,SMS,1
11B,ME160,ME,MA,1
11C,ME160,ME,AKM,1
11A,PHY105,PHY,nasreen,1
11B,PHY105,PHY,nasreen,1
11C,PHY105,PHY,nasreen,1
11A,PHY105,PHY,ratan,1
11B,PHY105,PHY,ratan,1
11C,PHY105,PHY,ratan,1
11A,PHY105,PHY,jellur,1
11B,PHY105,PHY,jellur,1
11C,PHY105,PHY,jellur,1
11A,SHOP160,SHOP,rajib,1
11B,SHOP160,SHOP,rajib,1
11C,SHOP160,SHOP,rajib,1
12A,CHEM141,CHEM,kaium,1
12B,CHEM141,CHEM,kaium,1
12C,CHEM141,CHEM,kaium,1
12A,CHEM141,CHEM,chanchal,2
12B,CHEM141,CHEM,chanchal,2
12C,CHEM141,CHEM,chanchal,2
12A,HUM103,HUM,rauf,2
12B,HUM103,HUM,rauf,2
12C,HUM103,HUM,rauf,2
12A,HUM103,HUM,mahfuzur,1
12B,HUM103,HUM,mahfuzur,1
12C,HUM103,HUM,mahfuzur,1
12A,HUM101,HUM,rahul,1
12B,HUM101,HUM,rahul,1
12C,HUM101,HUM,rahul,1
12A,HUM101,HUM,rakinul,1
12B,HUM101,HUM,rakinul,1
12C,HUM101,HUM,rakinul,1
12A,HUM101,HUM,motaleb,1
12B,HUM101,HUM,motaleb,1
12C,HUM101,HUM,motaleb,1
12A,MATH163,MATH,halim,2
12B,MATH163,MATH,halim,2
12C,MATH163,MATH,halim,2
12A,MATH163,MATH,mashud,2
12B,MATH163,MATH,mashud,2
12C,MATH163,MATH,mashud,2
12A,ME171,ME,SMS,1
12B,ME171,ME,SMS,1
12C,ME171,ME,SMS,1
12A,ME171,ME,MM,2
12B,ME171,ME,MM,2
12C,ME171,ME,MM,2
12A,ME172,ME,MA,1
12B,ME172,ME,MA,1
12C,ME172,ME,MA,1
12A,PHY102,PHY,azizar,1
12B,PHY102,PHY,nasreen,1
12C,PHY102,PHY,jellur,1
12A,PHY159,PHY,azizar,1
12B,PHY159,PHY,azizar,1
12C,PHY159,PHY,azizar,1
12A,PHY159,PHY,mostak,1
12B,PHY159,PHY,mostak,1
12C,PHY159,PHY,mostak,1
12A,PHY159,PHY,basith,1
12B,PHY159,PHY,basith,1
12C,PHY159,PHY,basith,1
12A,SHOP170,SHOP,shopper,1
12B,SHOP170,SHOP,shopper,1
12C,SHOP170,SHOP,shopper,1
21A,EEE259,EEE,SC,4
21B,EEE259,EEE,SC,4
21C,EEE259,EEE,KI,4
21A,EEE260,EEE,ARJ,1
21B,EEE260,EEE,ARJ,1
21C,EEE260,EEE,SC,1
21A,HUM303,HUM,h1,1
21B,HUM303,HUM,h1,1
21C,HUM303,HUM,h1,1
21A,HUM303,HUM,h2,1
21B,HUM303,HUM,h2,1
21C,HUM303,HUM,h2,1
21A,HUM303,HUM,h3,1
21B,HUM303,HUM,h3,1
21C,HUM303,HUM,h3,1
21A,MATH261,MATH,rana,1
21B,MATH261,MATH,rana,1
21C,MATH261,MATH,rana,1
21A,MATH261,MATH,alim,1
21B,MATH261,MATH,alim,1
21C,MATH261,MATH,alim,1
21A,MATH261,MATH,israt,2
21B,MATH261,MATH,israt,2
21C,MATH261,MATH,israt,2
21A,ME203,ME,MZH,2
21B,ME203,ME,MZH,2
21C,ME203,ME,MZH,2
21A,ME203,ME,AS,1
21B,ME203,ME,AS,1
21C,ME203,ME,AS,1
21A,ME204,ME,MA,1
21B,ME204,ME,MAR2,1
21C,ME204,ME,MA,1
21A,ME247,ME,MAM,2
21B,ME247,ME,MAM,2
21C,ME247,ME,MAM,2
21A,ME247,ME,MAA,1
21B,ME247,ME,MAA,1
21C,ME247,ME,MAA,1
31A,IPE331,IPE,NRD,1
31B,IPE331,IPE,NRD,1
31C,IPE331,IPE,NRD,1
31A,IPE331,IPE,ABMM,1
31B,IPE331,IPE,ABMM,1
31C,IPE331,IPE,ABMM,1
31A,IPE331,IPE,NAS,2
31B,IPE331,IPE,NAS,2
31C,IPE331,IPE,NAS,2
31A,IPE332,IPE,ipe332,1
31B,IPE332,IPE,ipe332,1
31C,IPE332,IPE,ipe332,1
31A,ME305,ME,NH,1
31B,ME305,ME,NH,1
31C,ME305,ME,NH,1
31A,ME305,ME,SS,2
31B,ME305,ME,SS,2
31C,ME305,ME,SS,2
31A,ME306,ME,AS,1
31B,ME306,ME,AS,1
31C,ME306,ME,NH,1
31A,ME321,ME,MMR,2
31B,ME321,ME,MMR,2
31C,ME321,ME,MMR,2
31A,ME321,ME,TH,1
31B,ME321,ME,TH,1
31C,ME321,ME,TH,1
31A,ME349,ME,MASA,1
31B,ME349,ME,MASA,1
31C,ME349,ME,MASA,1
31A,ME349,ME,SC,2
31B,ME349,ME,SC,2
31C,ME349,ME,SC,2
31A,ME350,ME,MAR,1
31B,ME350,ME,MASA,1
31C,ME350,ME,MAR,1
