session_id,class,subject,teacher,day,period,room
S31,11A,Differential Calculus and Coordinate Geometry,israt,1,1,
S39,11C,Introduction to Mechanical Engineering,Ashiq,1,1,
S50,11B,Physics-I,nasreen,1,1,
S103,12A,Computer Programming Language,a,1,1,
S117,12C,Physics-II,azizar,1,1,
S119,12B,Physics-II,mostak,1,1,
S163,21B,Engineering Thermodynamics,me203 course teacher,1,1,
S177,21C,Engineering Mechanics-I,motalab,1,1,
S206,31A,Fluid Mechanics-I,a,1,1,
S219,31B,Mechanics of Machinery,eee259 course teacher,1,1,
S233,31C,Instrumentation and Measurement,a,1,1,
S16,11B,Electrical Technology,N/A,1,2,
S37,11A,Introduction to Mechanical Engineering,Ashiq,1,2,
S96,12B,Integral Calculus and Differential Equations,mashud,1,2,
S107,12C,Computer Programming Language,a,1,2,
S115,12A,Physics-II,azizar,1,2,
S139,21A,Bangladesh History and Culture,a,1,2,
S165,21C,Engineering Thermodynamics,me203 course teacher,1,2,
S175,21B,Engineering Mechanics-I,motalab,1,2,
S196,31A,Heat Transfer,a,1,2,
S221,31C,Mechanics of Machinery,eee259 course teacher,1,2,
S231,31B,Instrumentation and Measurement,a,1,2,
S15,11A,Electrical Technology,N/A,1,3,
S20,11C,Electrical Technology,N/A,1,3,
S79,12A,English-I,Rahul,1,3,
S98,12C,Integral Calculus and Differential Equations,mashud,1,3,
S105,12B,Computer Programming Language,a,1,3,
S143,21B,Bangladesh History and Culture,a,1,3,
S158,21C,Vector Analysis and Complex Variables,israt,1,3,
S173,21A,Engineering Mechanics-I,motalab,1,3,
S198,31B,Heat Transfer,a,1,3,
S210,31C,Fluid Mechanics-I,a,1,3,
S229,31A,Instrumentation and Measurement,a,1,3,
S1,11A,Chemistry-I,Rashed,1,4,
S54,11C,Physics-I,ratan,1,4,
S59,11B,Workshop Practice-I,rajib,1,4,SHOP01
S81,12C,English-I,Rahul,1,4,
S83,12B,English-I,rakinul,1,4,
S94,12A,Integral Calculus and Differential Equations,mashud,1,4,
S141,21C,Bangladesh History and Culture,a,1,4,
S156,21B,Vector Analysis and Complex Variables,israt,1,4,
S161,21A,Engineering Thermodynamics,me203 course teacher,1,4,
S200,31C,Heat Transfer,a,1,4,
S208,31B,Fluid Mechanics-I,a,1,4,
S217,31A,Mechanics of Machinery,eee259 course teacher,1,4,
S35,11C,Differential Calculus and Coordinate Geometry,israt,1,5,
S52,11A,Physics-I,ratan,1,5,
S62,12B,Chemistry-II,kaium,1,5,
S68,12C,Chemistry-II,chanchal,1,5,
S12,11C,Chemistry-I Sessional,(chem114 course teacher,1,7,CHEM01
S23,11B,Electrical Technology Sessional,(eee160 course teacher),1,7,EEE01
S125,12B,Workshop Practice-II,shopper,1,7,SHOP02
S171,21C,Engineering Thermodynamics Sessional,Abdullah,1,7,ME02
S202,31A,Heat Transfer Sessional,me203 course teacher,1,7,ME04
S224,31B,Mechanics of Machinery Sessional,a,1,7,ME03
S237,31C,Electro-Mechanical System Design and Practice,a,1,7,ME05
S6,11C,Chemistry-I,nobi,2,1,
